,What's Going On This Month?,Workstream,MI2_Tracker_ID,Product Name,What to track?,Treatment,Sr. Level Technical Reviewer/Approver,DEC Submission (Y/N),MI Lead,FAB Lead,Link to Folder,Product Status,Production Timeline (No. of Months),% Completion,Due Date,Important Notes,Source,unique_id,xbva,Action Plan,Product #,LAC Lead,Output #,Work Plan,Meeting Notes,Catalogue of Mission Products,Mission Lead,Notes/Comments/Changes Needed,COVID-19 Updates,Task,"COR Approval 
Y/N",complete,ERP,MI2-Wide Tracker,MI2 BVA,Funding Source,MI2-Wide Tracker_x,Focal Area
129,MI2 scoping TA for a follow up design workshop starting in July (First two sessions July 31 and Aug 14) (SG 7/2/20),WORKSTREAM 1.1: LATIN AMERICA AND THE CARIBBEAN,Ecuador,,,,,,"
Geeta/Marcia/Sara",Olaf Zerbock,,,,,,,field_support_units,Operating Unit,Ecuador,,,,LAC_Ecuador,Draft Work Plan,SBU Ecuador Notes,,TBD,,N/A. FAB/LAC POCs working as normal.,,,,,Ecuador,MI2 LAC Ecuador TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
130,MI2 scoping TA for a follow up design workshop starting in July (First two sessions July 31 and Aug 14) (SG 7/2/20),WORKSTREAM 1.1: LATIN AMERICA AND THE CARIBBEAN,Ecuador,,,,,,"
Geeta/Marcia/Sara",Olaf Zerbock,,,,,,,field_support_units,Operating Unit,Ecuador,,,,LAC_Ecuador,Draft Work Plan,SBU Ecuador Notes,,TBD,,N/A. FAB/LAC POCs working as normal.,,,,,Ecuador,MI2 LAC Ecuador TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
131,No field support requested at this time (AJ 04/03),WORKSTREAM 1.2: ASIA,Cambodia,,,,,,Arlyne,Megan Hill,,,,,,,field_support_units,Operating Unit,Cambodia,,,,,Cambodia Work Plan,Pending first MI2 meeting,Cambodia Catalogue Folder,TBD,,,,,,FAB Cambodia TA,Cambodia,MI2 FAB Cambodia TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
132,No field support requested at this time (AJ 04/03),WORKSTREAM 1.2: ASIA,Cambodia,,,,,,Arlyne,Megan Hill,,,,,,,field_support_units,Operating Unit,Cambodia,,,,,Cambodia Work Plan,Pending first MI2 meeting,Cambodia Catalogue Folder,TBD,,,,,,FAB Cambodia TA,Cambodia,MI2 FAB Cambodia TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
133,Coordinating with FAB on outreach to mission (KS 05/03),WORKSTREAM 1.2: ASIA,Indonesia,,,,,,Arlyne,Barbara Best,,,,,,,field_support_units,Operating Unit,Indonesia,,,,IND_BI,Indonesia Work Plan,Pending first MI2 meeting,Indonesia Catalgoue Folder,Jamie,,Situation unknown. Evacuation?,,,,FAB Indonesia TA,Indonesia,MI2 FAB Indonesia TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
134,Coordinating with FAB on outreach to mission (KS 05/03),WORKSTREAM 1.2: ASIA,Indonesia,,,,,,Arlyne,Barbara Best,,,,,,,field_support_units,Operating Unit,Indonesia,,,,IND_BI,Indonesia Work Plan,Pending first MI2 meeting,Indonesia Catalgoue Folder,Jamie,,Situation unknown. Evacuation?,,,,FAB Indonesia TA,Indonesia,MI2 FAB Indonesia TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
135,"MI2, FAB and Nepal met on May 20th. MI2 conducted and shared a desk review, drafted inputs for a Request for Information and organized design resources for the Nepal activity design team. During the meeting, the Nepal team indicated they would re-engage MI2 after internal review of their concept note was completed (timing uncertain) (KS 6/12)",WORKSTREAM 1.2: ASIA,Nepal,,,,,,Arlyne,Olaf Zerbock,,,,,,,field_support_units,Operating Unit,Nepal,,,,NEPAL_BI,Nepal Work Plan,Nepal notes,Nepal Catalogue Folder,Chris Dege,,Mission staff are teleworking. Mission POC returned to states. FAB POCs working as normal.,,,,,Nepal,BI-NEPAL,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
136,"MI2, FAB and Nepal met on May 20th. MI2 conducted and shared a desk review, drafted inputs for a Request for Information and organized design resources for the Nepal activity design team. During the meeting, the Nepal team indicated they would re-engage MI2 after internal review of their concept note was completed (timing uncertain) (KS 6/12)",WORKSTREAM 1.2: ASIA,Nepal,,,,,,Arlyne,Olaf Zerbock,,,,,,,field_support_units,Operating Unit,Nepal,,,,NEPAL_BI,Nepal Work Plan,Nepal notes,Nepal Catalogue Folder,Chris Dege,,Mission staff are teleworking. Mission POC returned to states. FAB POCs working as normal.,,,,,Nepal,BI-NEPAL,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
137,"Currently scoping support to PNG for a virtual PnR, likely to be mid-July to mid-August (TG 7/8)",WORKSTREAM 1.2: ASIA,Papua New Guinea,,,,,,Arlyne,Heidi Schuttenberg,,,,,,,field_support_units,Operating Unit,Papua New Guinea,,,,1.2.1.C,Philippines Work Plan,Philippines Notes,PNG Catalogue Folder,TBD,,Mission staff are teleworking. IP staff were evacuated. Mission POC returned to states. FAB POC working as normal.,,,,FAB Indonesia TA,Papua New Guinea,MI2 FAB PNG TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
138,"Currently scoping support to PNG for a virtual PnR, likely to be mid-July to mid-August (TG 7/8)",WORKSTREAM 1.2: ASIA,Papua New Guinea,,,,,,Arlyne,Heidi Schuttenberg,,,,,,,field_support_units,Operating Unit,Papua New Guinea,,,,1.2.1.C,Philippines Work Plan,Philippines Notes,PNG Catalogue Folder,TBD,,Mission staff are teleworking. IP staff were evacuated. Mission POC returned to states. FAB POC working as normal.,,,,FAB Indonesia TA,Papua New Guinea,MI2 FAB PNG TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
139,,WORKSTREAM 1.2: ASIA,Philippines,,,,,,"Arlyne, Judy",Barbara Best,,,,,,,field_support_units,Operating Unit,Philippines,,,,1.2.1.A,,,Philippines Catalogue Folder,Becky G,,Teleworking; some staff may have been evacuated and airport shutting down,,,,FAB Philippines TA,Philippines,MI2 FAB Philippines TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
140,,WORKSTREAM 1.2: ASIA,Philippines,,,,,,"Arlyne, Judy",Barbara Best,,,,,,,field_support_units,Operating Unit,Philippines,,,,1.2.1.A,,,Philippines Catalogue Folder,Becky G,,Teleworking; some staff may have been evacuated and airport shutting down,,,,FAB Philippines TA,Philippines,MI2 FAB Philippines TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
141,Coordinating with FAB on outreach to scope buy-in (KS 05/03),WORKSTREAM 1.2: ASIA,RDMA,,,,,,"Arlyne, Kelsey",Megan Hill,,,,,,,field_support_units,Operating Unit,RDMA,,,,1.2.1.D,RDMA Work Plan,New Activity Notes,RDMA Catalogue Folder,Jedsada [Jesse] Taweekan,,Mission staff teleworking. FAB POC working as normal.,,,,FAB RDMA TA,RDMA,MI2 FAB RDMA TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
142,Coordinating with FAB on outreach to scope buy-in (KS 05/03),WORKSTREAM 1.2: ASIA,RDMA,,,,,,"Arlyne, Kelsey",Megan Hill,,,,,,,field_support_units,Operating Unit,RDMA,,,,1.2.1.D,RDMA Work Plan,New Activity Notes,RDMA Catalogue Folder,Jedsada [Jesse] Taweekan,,Mission staff teleworking. FAB POC working as normal.,,,,FAB RDMA TA,RDMA,MI2 FAB RDMA TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
143,"Saving Species P&R and CWT PAD planned for Feb. were cancelled due to coronavirus. Saving Species team proceeding with P&R, scoping potential rescheduling of CWT design (KS 02/19)
Received report on Saving Species P&R, which was facilitated by mission LEARNS contract. MI2 schedule to deliver facilitate four virtual sessions with mission in May to develop CWT PAD situation model.
Delivered two virtual sessions with mission in May to draft CWT PAD situation model; scoping the option of additional sessions for finalizing TOC (AJ 06/11).",WORKSTREAM 1.2: ASIA,Vietnam,,,,,,Arlyne,Megan Hill,,,,,,,field_support_units,Operating Unit,Vietnam,,,,1.2.1.B,Vietnam Work Plan,Vietnam Meeting Notes,Vietnam Catalogue Folder,Khuong Tran Chinh,,Mission staff teleworking. FAB POC working as normal.,,,,FAB Vietnam TA,Vietnam,MI2 FAB Vietnam TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
144,"Saving Species P&R and CWT PAD planned for Feb. were cancelled due to coronavirus. Saving Species team proceeding with P&R, scoping potential rescheduling of CWT design (KS 02/19)
Received report on Saving Species P&R, which was facilitated by mission LEARNS contract. MI2 schedule to deliver facilitate four virtual sessions with mission in May to develop CWT PAD situation model.
Delivered two virtual sessions with mission in May to draft CWT PAD situation model; scoping the option of additional sessions for finalizing TOC (AJ 06/11).",WORKSTREAM 1.2: ASIA,Vietnam,,,,,,Arlyne,Megan Hill,,,,,,,field_support_units,Operating Unit,Vietnam,,,,1.2.1.B,Vietnam Work Plan,Vietnam Meeting Notes,Vietnam Catalogue Folder,Khuong Tran Chinh,,Mission staff teleworking. FAB POC working as normal.,,,,FAB Vietnam TA,Vietnam,MI2 FAB Vietnam TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
145,[Link to Africa B. work plan once developed] Buy-in expected this summer (KF 6/6/20),WORKSTREAM 1.3: AFRICA,Africa Bureau,,,,,,"Kathleen, Vinaya",,,,,,,,field_support_units,Operating Unit,Africa Bureau,,,,,Africa Work Plan,Meeting notes,,,,,,,,,Africa Bureau,IGNORE,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
146,[Link to Africa B. work plan once developed] Buy-in expected this summer (KF 6/6/20),WORKSTREAM 1.3: AFRICA,Africa Bureau,,,,,,"Kathleen, Vinaya",,,,,,,,field_support_units,Operating Unit,Africa Bureau,,,,,Africa Work Plan,Meeting notes,,,,,,,,,Africa Bureau,IGNORE,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
147,"Virtual TOC workshop for CARPE Strategy completed, currently composing summary. (EM 7/10/20)",WORKSTREAM 1.3: AFRICA,CARPE,,,,,,Vinaya,"Andy Tobiason, Natalie Bailey",,,,,,,field_support_units,Operating Unit,CARPE,,,,CARPE_BI,CARPE Work Plan,CARPE Buy-in Notes,CARPE Catalogue Folder,Alastair McNeilage,change to buy-in task,"Teleworking, main POC still in DRC",,,,,CARPE,MI2_13.0.CARPE_BuyIn,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
148,"Virtual TOC workshop for CARPE Strategy completed, currently composing summary. (EM 7/10/20)",WORKSTREAM 1.3: AFRICA,CARPE,,,,,,Vinaya,"Andy Tobiason, Natalie Bailey",,,,,,,field_support_units,Operating Unit,CARPE,,,,CARPE_BI,CARPE Work Plan,CARPE Buy-in Notes,CARPE Catalogue Folder,Alastair McNeilage,change to buy-in task,"Teleworking, main POC still in DRC",,,,,CARPE,MI2_13.0.CARPE_BuyIn,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
149,Awaiting further input from mission on co-design support needs and funding options for Q3/Q4; still need to schedule follow up webinars to cover TOC-based MEL biodiversity programming arc (EM 7/10/20),WORKSTREAM 1.3: AFRICA,East Africa Regional,,,,,,Vinaya,,,,,,,,field_support_units,Operating Unit,East Africa Regional,,,,1.1.1.A,EAR Work Plan,KEA Notes,EAR Catalogue Folder,Mikala Lauridsen,,Teleworking; mission POC evacuated/ teleworking from Denmark,,,,FAB EAR TA,East Africa Regional,MI2 FAB EAR TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
150,Awaiting further input from mission on co-design support needs and funding options for Q3/Q4; still need to schedule follow up webinars to cover TOC-based MEL biodiversity programming arc (EM 7/10/20),WORKSTREAM 1.3: AFRICA,East Africa Regional,,,,,,Vinaya,,,,,,,,field_support_units,Operating Unit,East Africa Regional,,,,1.1.1.A,EAR Work Plan,KEA Notes,EAR Catalogue Folder,Mikala Lauridsen,,Teleworking; mission POC evacuated/ teleworking from Denmark,,,,FAB EAR TA,East Africa Regional,MI2 FAB EAR TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
151,[Link to Liberia work plan once developed] Possbile buy-in this summer (KF 6/6/20),WORKSTREAM 1.3: AFRICA,Liberia,,,,,,,,,,,,,,field_support_units,Operating Unit,Liberia,,,,,Liberia Work Plan,Liberia Meeting Notes,,,,,,,,,Liberia,IGNORE,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
152,[Link to Liberia work plan once developed] Possbile buy-in this summer (KF 6/6/20),WORKSTREAM 1.3: AFRICA,Liberia,,,,,,,,,,,,,,field_support_units,Operating Unit,Liberia,,,,,Liberia Work Plan,Liberia Meeting Notes,,,,,,,,,Liberia,IGNORE,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
153,"Pause and Reflect is on schedule for July, PAD and SVPN work is also planned for July, HEARTHS to start this month, Received request for CWT, CLA (potentially) pushed to August/ September but is still on standby, DDL submission should go this month, HHS completed. (EM 7/10/20)",WORKSTREAM 1.3: AFRICA,Madagascar,,,,,,Kathleen,Olaf Zerbock,,,,,,,field_support_units,Operating Unit,Madagascar,,,,MAD_BI,Madagascar Work Plan,Madagascar Notes,Mada Catalogue Folder,"Salohy Soloarivelo, Agathe Sector",,Mission is teleworking; mission POC in country; FAB POC teleworking; IPs all teleworking; Mikajy COP in US,,,,,Madagascar,BI-MAD,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
154,"Pause and Reflect is on schedule for July, PAD and SVPN work is also planned for July, HEARTHS to start this month, Received request for CWT, CLA (potentially) pushed to August/ September but is still on standby, DDL submission should go this month, HHS completed. (EM 7/10/20)",WORKSTREAM 1.3: AFRICA,Madagascar,,,,,,Kathleen,Olaf Zerbock,,,,,,,field_support_units,Operating Unit,Madagascar,,,,MAD_BI,Madagascar Work Plan,Madagascar Notes,Mada Catalogue Folder,"Salohy Soloarivelo, Agathe Sector",,Mission is teleworking; mission POC in country; FAB POC teleworking; IPs all teleworking; Mikajy COP in US,,,,,Madagascar,BI-MAD,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
155,Facilitating virtual pause and reflect for Malawi REFRESH (could be FAB or Afr Reg Bureau buy-in) (7/2/20),WORKSTREAM 1.3: AFRICA,Malawi,,,,,,Teal,Sara Carlson,,,,,,,field_support_units,Operating Unit,Malawi,,,,1.1.1.B,Malawi Work Plan,"Malawi REFRESH ASU Notes

Malawi REFRESH PnR Notes",Malawi Catalogue Folder,,,,,,,FAB Malawi TA,Malawi,MI2 FAB Malawi TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
156,Facilitating virtual pause and reflect for Malawi REFRESH (could be FAB or Afr Reg Bureau buy-in) (7/2/20),WORKSTREAM 1.3: AFRICA,Malawi,,,,,,Teal,Sara Carlson,,,,,,,field_support_units,Operating Unit,Malawi,,,,1.1.1.B,Malawi Work Plan,"Malawi REFRESH ASU Notes

Malawi REFRESH PnR Notes",Malawi Catalogue Folder,,,,,,,FAB Malawi TA,Malawi,MI2 FAB Malawi TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
157,"Wrapping up MEL-focused ASU series of virtual sessions for Gorongosa (JB+AM), updating situation model for Niassa (EM 7/10/20)",WORKSTREAM 1.3: AFRICA,Mozambique,,,,,,Kathleen,Andy Tobiason,,,,,,,field_support_units,Operating Unit,Mozambique,,,,1.1.1.C,Mozambique Work Plan ,Mission Notes,Moz Catalogue Folder,Nathan Sage,,Teleworking; IP evacuated/ teleworking; mission POC still in Maputo but taking on additional responsibilties due to other team members' departure; FAB POC teleworking,,,,FAB Mozambique TA,Mozambique,MI2 FAB Mozambique TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
158,"Wrapping up MEL-focused ASU series of virtual sessions for Gorongosa (JB+AM), updating situation model for Niassa (EM 7/10/20)",WORKSTREAM 1.3: AFRICA,Mozambique,,,,,,Kathleen,Andy Tobiason,,,,,,,field_support_units,Operating Unit,Mozambique,,,,1.1.1.C,Mozambique Work Plan ,Mission Notes,Moz Catalogue Folder,Nathan Sage,,Teleworking; IP evacuated/ teleworking; mission POC still in Maputo but taking on additional responsibilties due to other team members' departure; FAB POC teleworking,,,,FAB Mozambique TA,Mozambique,MI2 FAB Mozambique TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
159,No support anticipated in Q2FY20 (VS 3/9; KF 4/9; KF 4/30; VS 6/2),WORKSTREAM 1.3: AFRICA,Senegal,,,,,,Vinaya,"Hadas Kushnir, Heidi Schuttenberg",,,,,,,field_support_units,Operating Unit,Senegal,,,,1.1.1.D,Senegal Work Plan,Senegal Notes,Senegal Catalogue Folder,Oumou Ly,,,,,,FAB Senegal TA,Senegal,MI2 FAB Senegal TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
160,No support anticipated in Q2FY20 (VS 3/9; KF 4/9; KF 4/30; VS 6/2),WORKSTREAM 1.3: AFRICA,Senegal,,,,,,Vinaya,"Hadas Kushnir, Heidi Schuttenberg",,,,,,,field_support_units,Operating Unit,Senegal,,,,1.1.1.D,Senegal Work Plan,Senegal Notes,Senegal Catalogue Folder,Oumou Ly,,,,,,FAB Senegal TA,Senegal,MI2 FAB Senegal TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
161,"Awaiting follow up from mission (VS 3/9; KF 4/9; KF 4/30, VS 6/2)",WORKSTREAM 1.3: AFRICA,Southern Africa Regional,,,,,,Kathleen,"
",,,,,,,field_support_units,Operating Unit,Southern Africa Regional,,,,,SAfR Work Plan,Meeting notes,Pending TA to mission,Ashley Netherton,,Teleworking,,,,,Southern Africa Regional,IGNORE,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
162,"Awaiting follow up from mission (VS 3/9; KF 4/9; KF 4/30, VS 6/2)",WORKSTREAM 1.3: AFRICA,Southern Africa Regional,,,,,,Kathleen,"
",,,,,,,field_support_units,Operating Unit,Southern Africa Regional,,,,,SAfR Work Plan,Meeting notes,Pending TA to mission,Ashley Netherton,,Teleworking,,,,,Southern Africa Regional,IGNORE,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
163,"On standby, will need follow-up this month, Potentially take on mission tracking August/September (EM 7/10/20)",WORKSTREAM 1.3: AFRICA,Tanzania,,,,,,Vinaya,Natalie Bailey,,,,,,,field_support_units,Operating Unit,Tanzania,,,,1.1.1.E,Tanzania Work Plan,Meeting notes,Tanzania Catalogue Folder,Mission,,Teleworking; Mission POC has evacuated to the US,,,,FAB Tanzania TA,Tanzania,MI2 FAB Tanzania TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
164,"On standby, will need follow-up this month, Potentially take on mission tracking August/September (EM 7/10/20)",WORKSTREAM 1.3: AFRICA,Tanzania,,,,,,Vinaya,Natalie Bailey,,,,,,,field_support_units,Operating Unit,Tanzania,,,,1.1.1.E,Tanzania Work Plan,Meeting notes,Tanzania Catalogue Folder,Mission,,Teleworking; Mission POC has evacuated to the US,,,,FAB Tanzania TA,Tanzania,MI2 FAB Tanzania TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
165,FAB approved funding for MI2 support of a joint-ASU workshop for two activities. Mission POC teleworking in USA. Awaiting further details from mission (KF 4/9; KF 4/30; VS 6/2),WORKSTREAM 1.3: AFRICA,Uganda,,,,,,Vinaya,Hadas Kushnir,,,,,,,field_support_units,Operating Unit,Uganda,,,,,Uganda Work Plan,Pending first MI2 meeting,Uganda Catalogue Folder,Shawna Hirsch,,Teleworking; Mission POC has evacuated to the US,,,,FAB Uganda TA,Uganda,MI2 FAB Uganda TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
166,FAB approved funding for MI2 support of a joint-ASU workshop for two activities. Mission POC teleworking in USA. Awaiting further details from mission (KF 4/9; KF 4/30; VS 6/2),WORKSTREAM 1.3: AFRICA,Uganda,,,,,,Vinaya,Hadas Kushnir,,,,,,,field_support_units,Operating Unit,Uganda,,,,,Uganda Work Plan,Pending first MI2 meeting,Uganda Catalogue Folder,Shawna Hirsch,,Teleworking; Mission POC has evacuated to the US,,,,FAB Uganda TA,Uganda,MI2 FAB Uganda TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
167,"HEARTH has started up and currently scoping, Pre-proposal work running through August (EM 7/10/2020)",WORKSTREAM 1.3: AFRICA,Zambia,,,,,,Vinaya,"Sara Carlson, Colin Holmes",,,,,,,field_support_units,Operating Unit,Zambia,,,,,Zambia Work Plan,Pending first MI2 meeting,Zambia Catalogue Folder,Alastair McNeilage,This will likely be the first HEARTH start-up,,,,,FAB Zambia TA,Zambia,MI2 FAB Zambia TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
168,"HEARTH has started up and currently scoping, Pre-proposal work running through August (EM 7/10/2020)",WORKSTREAM 1.3: AFRICA,Zambia,,,,,,Vinaya,"Sara Carlson, Colin Holmes",,,,,,,field_support_units,Operating Unit,Zambia,,,,,Zambia Work Plan,Pending first MI2 meeting,Zambia Catalogue Folder,Alastair McNeilage,This will likely be the first HEARTH start-up,,,,,FAB Zambia TA,Zambia,MI2 FAB Zambia TA,FAB,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
169,,WORKSTREAM 1.3: AFRICA,,,,,,,,,,,,,,,field_support_units,Operating Unit,,,,,FAB Field Support TA,,,,,,,,,,,,,,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
170,,WORKSTREAM 1.3: AFRICA,,,,,,,,,,,,,,,field_support_units,Operating Unit,,,,,FAB Field Support TA,,,,,,,,,,,,,,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
171,Continuing planning meetings with the SALT team and conducting KIIs and a survey to inform the agenda and discussion during the virtual PnR,WORKSTREAM 1.3: AFRICA,SALT,,,,,,"Tess, Kelsey, Teal",Jenny K,,,,,,,field_support_units,Operating Unit,SALT,,,,,,SALT P&R Meeting Notes,,,,,,,,,,,,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
172,Continuing planning meetings with the SALT team and conducting KIIs and a survey to inform the agenda and discussion during the virtual PnR,WORKSTREAM 1.3: AFRICA,SALT,,,,,,"Tess, Kelsey, Teal",Jenny K,,,,,,,field_support_units,Operating Unit,SALT,,,,,,SALT P&R Meeting Notes,,,,,,,,,,,,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
173,,WORKSTREAM 1.3: AFRICA,TNRC,,,,,,,Hadas K,,,,,,,field_support_units,Operating Unit,TNRC,,,,,,Pending first meeting,,,,,,,,,,,,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
174,,WORKSTREAM 1.3: AFRICA,TNRC,,,,,,,Hadas K,,,,,,,field_support_units,Operating Unit,TNRC,,,,,,Pending first meeting,,,,,,,,,,,,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
175,,WORKSTREAM 1.3: AFRICA,HEARTH,,,,,,,Sara C,,,,,,,field_support_units,Operating Unit,HEARTH,,,,,HEARTH Buy-In,Pending first HEARTH meeting,,,,,,,,,,,,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
176,,WORKSTREAM 1.3: AFRICA,HEARTH,,,,,,,Sara C,,,,,,,field_support_units,Operating Unit,HEARTH,,,,,HEARTH Buy-In,Pending first HEARTH meeting,,,,,,,,,,,,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
177,,WORKSTREAM 1.3: AFRICA,,,,,,,,,,,,,,,field_support_units,Operating Unit,,,,,Direct Field Support Regional Technical Coordination and Forecasting,,,,,,,,,,,,,,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
178,,WORKSTREAM 1.3: AFRICA,,,,,,,,,,,,,,,field_support_units,Operating Unit,,,,,Direct Field Support Regional Technical Coordination and Forecasting,,,,,,,,,,,,,,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
179,,WORKSTREAM 1.3: AFRICA,,,,,,,,,,,,35-79%,,,field_support_units,Operating Unit,,,,,TA Coordination,,,,,,,,,57.0,,,,,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
180,,WORKSTREAM 1.3: AFRICA,,,,,,,,,,,,35-79%,,,field_support_units,Operating Unit,,,,,TA Coordination,,,,,,,,,57.0,,,,,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
181,,WORKSTREAM 1.3: AFRICA,,,,,,,,,,,,35-79%,,,field_support_units,Operating Unit,,,,,FAB Buy-In Co-Creation & Management,,,,,,,,,57.0,,,,,1. DIRECT FIELD SUPPORT,Direct Field Support - Mission Support Through TA & Buy-Ins
182,,WORKSTREAM 1.3: AFRICA,,,,,,,,,,,,35-79%,,,field_support_units,Operating Unit,,,,,FAB Buy-In Co-Creation & Management,,,,,,,,,57.0,,,,,1. DIRECT FIELD SUPPORT,Direct Field Support - Regional Technical Coordination & Forecasting
183,,,,,,,,,,,,,,,,,buy_in_products,Product Name,LAC Buy-In LAC Direct Field Support,,,,,,,,,,,LAC Direct Field Support,,,,,,,LAC Buy-In,BI-LAC
184,,,,,,,,,,,,,,,,,buy_in_products,Product Name,"LAC Buy-In LAC Regional Forecasting, Staffing, Coordination and Management",,,,,,,,,,,"LAC Regional Forecasting, Staffing, Coordination and Management",,,,,,,LAC Buy-In,BI-LAC
185,,,,,,,,,,,,,,,,,buy_in_products,Product Name,LAC Buy-In Cross-mission Learning Groups - Private Sector Engagement and Combating Conservation Crime,,,,,,,,,,,Cross-mission Learning Groups - Private Sector Engagement and Combating Conservation Crime,,,,,,,LAC Buy-In,BI-LAC
186,,,"Peru Case Study on Artisanal and Small-Scale Gold Mining - further develop, update and refine",,,,,,,,,Production,10.0,80-89%,Apr,Case studies shared with USAID technical reviewers on March 12,buy_in_products,Product Name,LAC Buy-In Evidence Use and Generation,,,,,,,,,,,Evidence Use and Generation,N,,LAC Evid Use and Generat,LAC Buy-In Evidence Use and Generation,MI2 LAC Evidence Use and Generation,Buy-In,LAC Buy-In,BI-LAC
